OBJECTID,DPA_AGENCY,DPA_GROUP,RESPOND_ID,NWCG_UNITID,AGREEMENTS,COST_APPOR,COMMENTS,Shape__Area,Shape__Length
230,CDF,STATE,TCU,CATCU,,CDF,"NJC_20140417_0858; AGENCY/GROUP/RESPOND/COST=CDF/STATE/TCU/CDF",287095.567439348,4064.45343831282
231,CDF,STATE,TGU,CATGU,,CDF,,47584.7672996521,1841.35840386642
232,CDF,STATE,TGU,CATGU,,CDF,Error fix. Alignment to incorporated city boundary,84007.6541137695,1826.50119615401
233,CDF,STATE,TGU,CATGU,,CDF, ,5900155553.34042,885947.734899316
234,CDF,STATE,TGU,CATGU,,CDF,DPA ID:  TGU_003  LOCAL to CDF,1914537.49042892,7310.19686531469
235,CDF,STATE,TGU,CATGU,,CDF,DPA ID:  TGU_014  LOCAL to CDF,4798390.06795883,18140.2909392871
236,CDF,STATE,TGU,CATGU,,CDF,DPA ID:  TGU_015  LOCAL to CDF,33512641.4315987,35444.0740014866
237,CDF,STATE,TGU,CATGU,,CDF,DPA ID:  TGU_016  LOCAL to CDF,3305762.26304626,14199.8140098069
238,CDF,STATE,TGU,CATGU,,CDF,"DPA ID: CDFAUTO_TGU_01  SRA near Willows, cant be LOCAL protection",481723.388780594,5146.33687161651
239,CDF,STATE,TUU,CATUU,,CDF,2020 SRA Review: LRA to SRA,2332273.44742584,6436.62209713331
240,CDF,STATE,TUU,CATUU,,CDF, ,1817994.96468544,9024.25533537391
241,CDF,STATE,TUU,CATUU,,CDF,DPA ID:    Minor change from 2015 SRA Review,695102.518912315,8986.54025027016
242,CDF,STATE,TUU,CATUU,,CDF,DPA ID:  TUU_040  Minor change from 2015 SRA Review,8423.48875141144,897.43166487532
243,CDF,STATE,TUU,CATUU,,CDF,DPA ID:  TUU_041  Minor change from 2015 SRA Review,58073.6909942627,1072.09869542056
244,CDF,STATE,TUU,CATUU,,CDF,DPA ID:  TUU_042  Minor change from 2015 SRA Review,23507.161233902,631.982426612956
245,CDF,STATE,TUU,CATUU,,CDF,DPA ID:  TUU_043  Minor change from 2015 SRA Review,394007.460526466,4540.1078825243
246,CDF,STATE,TUU,CATUU,,CDF,DPA ID:  TUU_046  Minor change from 2015 SRA Review,22646.8278331757,766.919486586659
247,CDF,STATE,TUU,CATUU,,CDF,DPA ID:  TUU_049  Minor change from 2015 SRA Review,29267.1656951904,899.720893542438
248,CDF,STATE,TUU,CATUU,,CDF,DPA ID:  TUU_052  Minor change from 2015 SRA Review,7244.79845046997,454.960205458368
249,CDF,STATE,TUU,CATUU,,CDF,DPA ID:  TUU_054  Minor change from 2015 SRA Review,506282.223920822,5909.35794664441
250,CDF,STATE,TUU,CATUU,,CDF,DPA ID:  TUU_055  Minor change from 2015 SRA Review,42311.8671236038,1236.89918656641
251,CDF,STATE,TUU,CATUU,,CDF,DPA ID:  TUU_056  Minor change from 2015 SRA Review,276167.22552681,2116.4568347081
252,CDF,STATE,TUU,CATUU,,CDF,"NJC_20140218_0937; Cleaned slivers around update. Cut background poly to match update. Chnaged attributes to match update. Merged like attributes.",380233.463486671,4965.60800742801
253,CDF,STATE,TUU,CATUU,,CDF,"NJC_20140218_0937; Cut background poly to match update. Chnaged attributes to match update. Merged like attributes.",152806.280319214,4566.57873043299
254,CDF,STATE,TUU,CATUU,,CDF,"NJC_20140221_1141; Cut background poly to match update. Chnaged attributes to match update. Cleaned slivers around update.",200563.705280304,3094.40652538575
255,CDF,STATE,TUU,CATUU,,CDF,"NJC_20140224_0804; Cut background poly to match update. Chnaged attributes to match update. Merged like attributes. Cleaned slivers around update.",237524.620801926,3411.66583375985
256,CDF,STATE,TUU,CATUU,,CDF,"NJC_20140224_0916; Cut background poly to match update. Chnaged attributes to match update. Merged like attributes. Cleaned slivers around updates.",293628.991631508,4310.47082512147
257,CDF,STATE,TUU,CATUU,,CDF,"NJC_20140512_0902; Unintentionally changed attributes. They have been reverted back to DPA13_4.",2509069242.27616,630291.599362253
258,CDF,STATE,VNC,CAVNC,CNTRCT,VNC, ,1234625187.95369,897473.348278933
259,CDF,STATE,VNC,CAVNC,CNTRCT,VNC,2020 SRA Review: LRA to SRA,7666743.82439232,63040.2256825296
260,CDF,STATE,VNC,CAVNC,CNTRCT,VNC,DPA ID:  VNC_033  ,29711.2065658569,1173.87610408595
261,CDF,STATE,VNC,CAVNC,CNTRCT,VNC,DPA ID:  VNC_044  ,23366.2334518433,970.32698217144
262,CDF,STATE,VNC,CAVNC,CNTRCT,VNC,DPA ID:  VNC_056  ,230092.007087708,2465.78679881509
263,CDF,STATE,VNC,CAVNC,CNTRCT,VNC,DPA ID:  VNC_057  ,821364.798618317,5614.92808354931
264,CDF,STATE,VNC,CAVNC,CNTRCT,VNC,DPA ID:  VNC_059  ,4405.28103637695,294.163411720946
265,CDF,STATE,VNC,CAVNC,CNTRCT,VNC,Error fix. Alignment to incorporated city boundary,539016.150112152,5287.31690692414
266,CDF,STATE,VNC,CAVNC,CNTRCT,VNC,"NJC_20140224_0952; Cut background to match update. Changed attributes to match update.",101856.237485886,2206.70726020877
267,CDF,STATE,VNC,CAVNC,CNTRCT,VNC,"NJC_20140224_0954; Cut background to match update. Changed attributes to match update.",90817.5985794067,2040.28664701107
268,CDF,STATE,VNC,CAVNC,CNTRCT,VNC,"NJC_20140224_0957; Cut background to match update. Changed attributes to match update.",2567.41310119629,291.833525463093
